is_claimed,rating,mobile_url,rating_img_url,review_count,name,rating_img_url_small,url,categories/0/0,categories/0/1,categories/1/0,categories/1/1,phone,snippet_text,image_url,snippet_image_url,display_phone,rating_img_url_large,id,is_closed,location/city,location/display_address/0,location/display_address/1,location/geo_accuracy,location/postal_code,location/country_code,location/address/0,location/coordinate/latitude,location/coordinate/longitude,location/state_code,categories/2/0,categories/2/1,menu_date_updated,menu_provider,location/display_address/2,location/address/1
true,4,http://m.yelp.com/biz/citizen-burger-bar-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,478,Citizen Burger Bar,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://www.yelp.com/biz/citizen-burger-bar-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Bars,bars,4349799944,"I love this place!! Amazing cocktails and my favorite burger in cville so far. Burgers/sandwiches are super easy to customise, they make them exactly how...",https://s3-media2.fl.yelpcdn.com/bphoto/LHvpRRFR188zDYgDcqRxIA/ms.jpg,http://s3-media3.fl.yelpcdn.com/photo/I6xJwq-z4mXhMdj50Ic6JQ/ms.jpg,+1-434-979-9944,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,citizen-burger-bar-charlottesville,false,Charlottesville,212 E Main St,"Charlottesville, VA 22902",8,22902,US,212 E Main St,38.0300789,-78.4804916,VA,,,,,,
false,4.5,http://m.yelp.com/biz/riverside-lunch-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,95,Riverside Lunch,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://www.yelp.com/biz/riverside-lunch-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Sandwiches,sandwiches,4349713546,"I've been eating here since 1970 (started when it was at its original location on the 250 Bypass).
Always get 'em the same way- mayonnaise, ketchup, and a...",https://s3-media2.fl.yelpcdn.com/bphoto/i0BYqjAnDMIai__n1mCrEw/ms.jpg,http://s3-media1.fl.yelpcdn.com/photo/6IAnt-d_vHjQ6Vi0z1GmJg/ms.jpg,+1-434-971-3546,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,riverside-lunch-charlottesville,false,Charlottesville,1429 Hazel St,"Charlottesville, VA 22902",8,22902,US,1429 Hazel St,38.0330924987793,-78.4625854492188,VA,Hot Dogs,hotdog,1470168353,single_platform,,
true,4,http://m.yelp.com/biz/jack-browns-beer-and-burger-joint-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,54,Jack Brown's Beer & Burger Joint,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://www.yelp.com/biz/jack-browns-beer-and-burger-joint-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Beer Bar,beerbar,4342440073,We Went to this spot after a late event. Most places were closed and we just needed a quick bite to eat. Turns out we had one of the best burgers ever. We...,https://s3-media4.fl.yelpcdn.com/bphoto/-6hXal6i-yShW__PqWEHfw/ms.jpg,http://s3-media4.fl.yelpcdn.com/photo/DKUpnS_zRxEHKiETxzDE1A/ms.jpg,+1-434-244-0073,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,jack-browns-beer-and-burger-joint-charlottesville,false,Charlottesville,109 2nd St Se,"Charlottesville, VA 22902",8,22902,US,109 2nd St Se,38.03019,-78.48109,VA,,,,,,
true,4.5,http://m.yelp.com/biz/mooses-by-the-creek-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,56,Moose's by the Creek,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://www.yelp.com/biz/mooses-by-the-creek-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Southern,southern,Breakfast & Brunch,breakfast_brunch,4349774150,"several people had told me to try out Mooses by the Creek and I asked them ""what creek"" lol.  Anyway I am so glad my husband, daughter and I went there for...",https://s3-media2.fl.yelpcdn.com/bphoto/N2fxywypq95pJkASNLRJAg/ms.jpg,http://s3-media1.fl.yelpcdn.com/photo/jotWhQSrjXzlij26P6b1eQ/ms.jpg,+1-434-977-4150,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,mooses-by-the-creek-charlottesville,false,Charlottesville,1710 Monticello Rd,"Charlottesville, VA 22902",8,22902,US,1710 Monticello Rd,38.0137291,-78.4737091,VA,Burgers,burgers,,,,
true,3.5,http://m.yelp.com/biz/zinburger-burger-and-wine-bar-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,173,Zinburger Burger & Wine Bar,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://www.yelp.com/biz/zinburger-burger-and-wine-bar-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Wine Bars,wine_bars,4342442604,"This was my first visit to Zinburger, but it won't be my last! I went in for an early lunch... Just me and my book.
I was immediately greeted by a friendly...",https://s3-media3.fl.yelpcdn.com/bphoto/EQkERseZFmoSiBkNIL2kfg/ms.jpg,http://s3-media2.fl.yelpcdn.com/photo/qZ41GQxPAmlyh5m6i9O-aw/ms.jpg,+1-434-244-2604,https://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,zinburger-burger-and-wine-bar-charlottesville,false,Charlottesville,973 Emmet St N,Ste A,9.5,22903,US,973 Emmet St N,38.0508627,-78.5012588,VA,,,,,"Charlottesville, VA 22903",Ste A
true,3.5,http://m.yelp.com/biz/boylan-heights-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,128,Boylan Heights,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://www.yelp.com/biz/boylan-heights-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,,,4349845707,"Can't really say too much, because I only had drinks, but I can tell you what happened, and that their wait staff were extremely accommodating given my...",https://s3-media3.fl.yelpcdn.com/bphoto/Z-312IMYotTsbBcNBZcW6w/ms.jpg,http://s3-media4.fl.yelpcdn.com/photo/U4GgqmXjZVTyzaYk3Ewc1A/ms.jpg,+1-434-984-5707,https://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,boylan-heights-charlottesville,false,Charlottesville,102 14th St NW,"Charlottesville, VA 22903",8,22903,US,102 14th St NW,38.0340823,-78.4993844,VA,,,1469869507,single_platform,,
false,3.5,http://m.yelp.com/biz/cook-out-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,50,Cook Out,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://www.yelp.com/biz/cook-out-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Barbeque,bbq,,"I was introduced to Cookout in college, and always try to visit when I'm in the South. This particular Cookout is the nicest and largest Cookout I've ever...",https://s3-media1.fl.yelpcdn.com/bphoto/CSZYb7dVApfwhtS8Uh6PoA/ms.jpg,http://s3-media1.fl.yelpcdn.com/photo/fZKfPqtJdxz0X7PstkMclQ/ms.jpg,,https://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,cook-out-charlottesville,false,Charlottesville,1254 Emmet St N,"Charlottesville, VA 22903",9.5,22903,US,1254 Emmet St N,38.055000443704,-78.4971026593303,VA,,,,,,
true,4.5,http://m.yelp.com/biz/mels-cafe-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png,148,Mel's Cafe,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png,http://www.yelp.com/biz/mels-cafe-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Diners,diners,Soul Food,soulfood,4349718819,"My favorite secret dining place in Charlottesville. Quality, quality soul food with the heart of local Charlottesville. Mel and his wife Tia are often there...",https://s3-media1.fl.yelpcdn.com/bphoto/XI6hA3Ejavk7jM7Q5o6RmA/ms.jpg,http://s3-media3.fl.yelpcdn.com/photo/nbqDzF6v30t1quBHyWTMWA/ms.jpg,+1-434-971-8819,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/9f83790ff7f6/ico/stars/v1/stars_large_4_half.png,mels-cafe-charlottesville,false,Charlottesville,719 W Main St,"Charlottesville, VA 22903",8,22903,US,719 W Main St,38.0315733700991,-78.4900758415461,VA,,,,,,
false,3.5,http://m.yelp.com/biz/korner-restaurant-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,6,Korner Restaurant,https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://www.yelp.com/biz/korner-restaurant-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Sandwiches,sandwiches,4349779535,"Good food, fast service, nice people. You don't leave hungry or feeling ripped off. Usually see the same faces as it is frequented by ""regulars"" and you'll...",https://s3-media3.fl.yelpcdn.com/bphoto/lZ0wREN7RI7f2lpKlSbt0w/ms.jpg,http://s3-media2.fl.yelpcdn.com/photo/gIkdbn-NnsEd1vhptiSqRg/ms.jpg,+1-434-977-9535,https://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,korner-restaurant-charlottesville,false,Charlottesville,415 9th St SW,"Charlottesville, VA 22903",8,22903,US,415 9th St SW,38.0293546,-78.49516,VA,,,,,,
false,4,http://m.yelp.com/biz/tubbys-deli-and-restaurant-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,12,Tubby's Deli & Restaurant,https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://www.yelp.com/biz/tubbys-deli-and-restaurant-charlottesville?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=pROwadP4tA5opsjCjeMn9g,Burgers,burgers,Delis,delis,4342933825,"Tubbys is my favorite place to go in all of Charlottesville.  I've been going there ever since it opened (which is probably 20 years ago).

Great subs and...",https://s3-media1.fl.yelpcdn.com/bphoto/yxFcMBY0Ne7NDM5-ZRqvYw/ms.jpg,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/189f2ca1fe8c/assets/img/default_avatars/user_medium_square.png,+1-434-293-3825,https://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,tubbys-deli-and-restaurant-charlottesville,false,Charlottesville,1412 E High St,"Charlottesville, VA 22902",8,22902,US,1412 E High St,38.0319213867188,-78.4641265869141,VA,Sandwiches,sandwiches,,,,
